Customer_No,Campaign_ID,Treatment,Response,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20
1,1,1,0,0.69,0.88,0.01,0.10,0.92,0.39,0,0.60,0.38,0,0.62,0.66,0.42,0.79,0.26,0.16,0.79,0.75,0.57,1
2,1,1,1,0.80,0.49,0.88,0.18,0.79,0.16,1,0.54,0.23,1,0.76,0.47,0.94,0.33,0.21,0.61,0.55,0.18,0.43,1
3,1,1,0,0.61,0.34,0.47,0.66,0.47,0.67,0,0.99,0.16,1,0.93,0.33,0.37,0.58,0.76,0.00,0.21,0.76,0.35,0
4,1,1,0,0.33,0.69,0.57,0.52,0.45,0.33,0,0.77,0.30,0,0.29,0.06,0.41,0.99,0.66,0.08,0.03,0.88,0.90,0
5,1,1,0,0.99,0.85,0.18,0.41,0.52,0.28,0,0.65,0.53,0,0.17,0.59,0.68,0.70,0.60,0.10,0.79,0.93,0.89,0
6,1,0,0,0.66,0.24,0.46,0.23,0.80,0.09,0,0.21,0.16,1,0.44,0.59,0.19,0.16,0.28,0.26,0.29,0.53,0.90,0
7,1,1,0,0.03,0.26,0.03,0.41,0.33,0.25,1,0.42,0.20,1,0.92,0.98,0.15,0.56,0.07,0.17,0.26,0.48,0.53,1
8,1,1,0,0.18,0.84,0.22,0.19,0.47,0.12,1,0.01,0.44,1,0.50,0.53,0.02,0.64,0.71,0.16,0.72,0.30,0.17,0
9,1,0,0,0.66,0.07,0.93,0.43,0.62,0.70,1,0.31,0.38,0,0.26,0.99,0.09,0.38,0.42,0.50,0.32,0.89,0.34,1
10,1,1,0,0.39,0.36,0.40,0.13,0.52,0.27,0,0.10,0.04,0,0.34,0.54,0.75,0.68,0.27,0.71,0.45,0.90,0.21,1
11,1,1,0,0.95,0.54,0.00,0.36,0.54,0.75,0,0.70,0.28,1,0.67,0.07,0.84,0.02,0.22,0.89,0.67,0.14,0.59,0
12,1,0,1,0.12,0.14,0.63,0.17,0.44,0.37,1,0.94,0.57,1,0.58,0.84,0.95,0.97,0.49,0.72,0.15,0.23,0.35,0
13,1,1,0,0.82,0.41,0.71,0.34,0.43,0.57,1,0.42,0.12,1,0.14,0.07,0.20,0.87,0.61,0.98,0.78,0.59,0.56,0
14,1,1,0,0.95,0.97,0.03,0.16,0.71,0.15,1,0.97,0.88,1,0.32,0.54,0.06,0.41,0.43,0.32,0.39,0.80,0.07,0
15,1,1,0,0.71,0.13,0.80,0.58,0.67,0.91,0,0.59,0.51,1,0.30,0.91,0.49,0.63,0.46,0.48,0.74,0.94,0.77,1
16,1,1,0,0.62,0.63,0.12,0.37,0.72,0.64,0,0.64,0.18,1,0.32,0.74,0.53,0.81,0.76,0.58,0.49,0.89,1.00,0
17,1,1,0,0.04,0.88,0.49,0.49,0.43,0.96,1,0.48,0.11,0,0.60,0.18,0.76,0.21,0.17,0.95,0.92,0.57,0.76,1
18,1,1,0,0.42,0.16,0.45,0.45,0.30,0.05,0,0.29,0.35,0,0.33,0.46,0.27,0.71,0.28,0.43,0.54,0.87,0.29,1
19,1,0,0,0.38,0.17,0.80,0.14,0.61,0.72,1,0.48,0.37,1,0.55,0.68,0.94,0.30,0.34,0.09,0.99,0.54,0.28,1
20,1,1,0,0.92,0.99,0.55,0.21,0.61,0.58,0,1.00,0.45,0,0.90,0.49,0.16,0.07,0.23,0.36,0.02,0.79,0.48,1
21,1,1,0,0.11,0.95,0.92,0.28,0.65,0.55,0,0.45,0.33,0,0.50,0.58,0.51,0.77,0.18,0.29,0.99,0.83,0.72,1
22,1,1,0,0.79,0.47,0.45,0.16,0.59,0.52,1,0.19,0.20,0,0.51,0.81,0.04,0.93,0.26,0.59,0.56,0.13,0.32,0
23,1,1,0,0.52,0.92,0.51,0.43,0.52,0.36,0,0.75,0.82,0,0.65,0.27,0.17,0.84,0.67,0.23,0.04,0.72,0.05,1
24,1,1,1,0.20,0.17,0.39,0.37,0.55,0.78,1,0.33,0.46,0,0.93,0.53,0.10,0.38,0.07,0.07,0.05,0.63,0.03,0
25,1,1,0,0.08,0.48,0.31,0.60,0.57,0.59,0,0.62,0.41,0,0.95,0.87,0.16,0.19,0.23,0.15,0.68,0.13,0.85,0
26,1,1,0,0.94,0.27,0.89,0.53,0.39,0.90,0,0.69,0.29,0,0.79,0.03,0.56,0.26,0.39,0.16,0.46,0.85,0.42,1
27,1,1,0,0.47,0.38,0.21,0.48,0.55,0.54,0,0.89,0.30,1,0.59,0.01,0.96,0.55,0.45,0.79,0.11,0.95,0.12,0
28,1,1,0,0.63,0.77,0.62,0.30,0.54,0.61,1,0.69,0.33,0,0.42,0.79,0.42,0.29,0.18,0.01,0.19,0.38,0.18,1
29,1,0,1,0.48,0.91,0.24,0.05,0.86,0.14,0,0.01,0.45,1,0.85,0.72,0.92,0.21,0.14,0.62,0.43,0.53,0.65,1
30,1,1,1,0.55,0.42,0.99,0.21,0.70,0.09,1,0.51,0.62,1,0.25,0.64,0.05,0.28,0.31,0.61,0.58,0.99,0.04,0
31,1,0,0,0.33,0.15,0.31,0.55,0.39,0.58,1,0.25,0.20,1,0.36,0.95,0.76,0.78,0.42,0.53,0.28,0.21,0.89,0
32,1,1,0,0.87,0.56,0.95,0.43,0.74,0.90,0,0.71,0.40,0,0.85,0.26,0.93,0.66,0.73,0.84,0.17,0.59,0.93,1
33,1,1,0,0.36,0.85,0.28,0.45,0.31,0.07,1,0.35,0.55,0,0.87,0.60,0.44,0.75,0.51,0.10,0.16,0.08,0.46,1
34,1,0,0,0.54,0.79,0.09,0.32,0.47,0.16,0,0.50,0.31,0,0.06,0.34,0.55,0.92,0.36,0.31,0.00,0.66,0.81,1
35,1,1,0,0.30,0.72,0.24,0.30,0.36,0.60,0,0.13,0.40,0,0.03,0.30,0.22,0.71,0.37,0.89,0.51,0.74,0.09,1
36,1,1,0,1.00,0.76,0.79,0.78,0.38,0.01,1,0.74,0.49,1,0.41,0.74,0.62,0.87,0.66,0.54,0.09,0.88,0.28,1
37,1,1,1,0.71,0.35,0.71,0.33,0.67,0.81,1,0.65,0.42,1,0.49,0.87,0.10,0.27,0.35,0.55,0.56,0.86,1.00,1
38,1,1,0,0.32,0.40,0.93,0.27,0.49,0.46,1,0.95,0.68,1,0.77,0.54,0.74,0.12,0.12,0.59,0.64,0.29,0.05,1
39,1,1,0,0.32,0.70,0.75,0.46,0.76,0.69,1,0.96,0.59,0,0.14,0.40,0.14,0.87,0.50,0.55,0.83,0.17,0.06,0
40,1,1,0,0.10,0.48,0.01,0.38,0.40,0.10,1,0.24,0.22,1,0.99,0.09,0.80,0.60,0.58,0.17,0.07,0.08,0.67,0
